10|MATERIAL VIVO VEGETAL Y ANIMAL, ACCESORIOS Y SUMINISTROS|FALSE
11|MATERIAL MINERAL, TEXTIL Y VEGETAL Y ANIMAL NO COMESTIBLE|FALSE
12|MATERIAL QUÍMICO INCLUYENDO BIOQUÍMICOS Y MATERIALES DE GAS|FALSE
13|MATERIALES DE RESINA, COLOFONIA, CAUCHO, ESPUMA, PELÍCULA Y ELASTÓMERICOS|FALSE
14|MATERIALES Y PRODUCTOS DE PAPEL|FALSE
15|MATERIALES COMBUSTIBLES, ADITIVOS PARA COMBUSTIBLES, LUBRICANTES Y ANTICORROSIVOS|FALSE
20|MAQUINARIA Y ACCESORIOS DE MINERÍA Y PERFORACIÓN DE POZOS|FALSE
21|MAQUINARIA Y ACCESORIOS PARA AGRICULTURA, PESCA, SILVICULTURA Y FAUNA|FALSE
22|MAQUINARIA Y ACCESORIOS PARA CONSTRUCCIÓN Y EDIFICACIÓN|FALSE
23|MAQUINARIA Y ACCESORIOS PARA MANUFACTURA Y PROCESAMIENTO INDUSTRIAL|FALSE
24|MAQUINARIA, ACCESORIOS Y SUMINISTROS PARA MANEJO, ACONDICIONAMIENTO Y ALMACENAMIENTO DE MATERIALES|FALSE
25|VEHÍCULOS COMERCIALES, MILITARES Y PARTICULARES, ACCESORIOS Y COMPONENTES|FALSE
26|MAQUINARIA Y ACCESORIOS PARA GENERACIÓN Y DISTRIBUCIÓN DE ENERGÍA|FALSE
27|HERRAMIENTAS Y MAQUINARIA GENERAL|FALSE
30|COMPONENTES Y SUMINISTROS PARA ESTRUCTURAS, EDIFICACIÓN, CONSTRUCCIÓN Y OBRAS CIVILES|FALSE
31|COMPONENTES Y SUMINISTROS DE MANUFACTURA|FALSE
32|COMPONENTES Y SUMINISTROS ELECTRÓNICOS|FALSE
39|COMPONENTES, ACCESORIOS Y SUMINISTROS DE SISTEMAS ELÉCTRICOS E ILUMINACIÓN|FALSE
40|COMPONENTES Y EQUIPOS PARA DISTRIBUCIÓN Y SISTEMAS DE ACONDICIONAMIENTO|FALSE
41|EQUIPOS Y SUMINISTROS DE LABORATORIO, DE MEDICIÓN, DE OBSERVACIÓN Y DE PRUEBAS|FALSE
42|EQUIPO MÉDICO, ACCESORIOS Y SUMINISTROS|FALSE
43|DIFUSIÓN DE TECNOLOGÍAS DE INFORMACIÓN Y TELECOMUNICACIONES|FALSE
44|EQUIPOS DE OFICINA, ACCESORIOS Y SUMINISTROS|FALSE
